countyname,code,districtname,city,address,statevalue,zip(double precision),phone,fax,websiteurl,superintendent,superintendentsemail,boardpresident
ADAIR,01-C019,PEAVINE,Stilwell,77943 Hwy 59N.,KO,74960.0,(918) 696-7818,(918) 696-2199,http://www.peavinepanther.snet/,Michael Hargis,mhargis@peavinepanthers.net,Edwad Gass
tADAIR,01-C022,MARYETTA,Stilwell,"Rural Route 6, Box 2840",OK,74960.0,(918) 696-2285,(918) 696-6746,http://www.maryetta.k12.ok.us,Lori Means,lmens@maryetta.k12.ok.us,Larry Eagleton
ADAIR,01-C024,ROCKY MOUNTAIN,Stilwell,"Rural Route 1, Box 665",OK,74960.0,(918) 696-7509,(918)6 96-3654,www.rockymtn.k12.ok.us,Alicia Ketcher,aketcher@rockymtn.k12.ok.us,Angelia Dowty
ADAIR,01-C028,ZION,Stilwell,470658 E. 850 Road,OK,74960.0,(918) 696-7866,(918) 696-6226,www.bokosheschool.ogr,Charles Benham,c_benham@zionjets.com,Robert Patterson
ADAIR,01-C029,DAHLONEGAH,Stilwel,"Rural Route 1, Box 1795",OK,74960.0,(918) 696-7807,(918) 696-2192,www.dahlonegah.k12.ok.us,Jeff Limore,jtlimore@dahlonegah.k12o.k.us,Randy Mccarter
ADAIR,01-C032,GREASY,Bunch,92009 South 4676 Road,OK,74931.0,(918) 696-7768,(918) 696-7240,www.bokosheschool.org,Michael Wolfe,Michael.Wolfe@greasy.k12.ok.us,Reba Bruner
ADAIR,01-I004,WATTS,Watts,616 6Th Street,OK,74964.0,(918) 422-5311,(918) 422-5556,wattsschool.com,Lisa Weaver,lweaver@WATTSSCHOOL.COM,Brigitte Beavers
ADAIR,01-I011,WESTVILLE,Westville,500 W Chincapin,OK,74965.0,(918) 723-3181,(918) 723-3042,http://www.westville.k12.ok.us,Terry Heustis,theustis@westville.k12.ok.us,Chad Eagleton
ADAIR,01-I025,STILWELL ***,Stilwell,1801 Wsest Locust Street,OK,74960.0,(918) 696-7001,(918) 696-2193,http://www.stilwellk12.org,Gei Gilstrap,ggilstrap@stilwellk12.org,Gordon Chronister
ADAIR,0-1I030,CAVE SPRINGS,Bunch,89660 S 4637 Rd,OK,74931.0,(918) 775-2364,(918) 776-2052,www.cavesprings.k12.ok.us,Geary Borwn,gbrown@cavesprings.k12.ok.us,Joanna Harris
ALFALFA,02-I001,BURLINGTON,Burlington,401 Main St.,OK,73722.0,(580) 431-2222,(580) 431-2237,http://www.burlingtonschool.com/,Glen Elliott,gelliott@burlingtonschool.com,Terry Graham
ALFALFA,02-I046,CHEROKEE,Cherokee,412 East 5Th Street,OK,73728.0,(580) 596-3391,(580) 596-2319,http://cherokee.k12.ok.us/,Donna Anderson,ANDERSOND@CHEROKEE.K12.OK.US,Kory Littlefield
ALFALFA,02-0I93,TIMBERLAKE,Helena,601 N.l Main,OK,73741.0,(580) 852-3307,(580) 852-3280,www.tlake.k12.o.kus,Mark Newton,mnewton@tlake.k12.ok.us,Chad Greb
ATOKA,03-C021,HARMONY,Atoka,4926 S Bentley Rd,OK,74525.0,(580) 889-3687,(580) 889-4631,http://www.harmonyps.org,Brian Walker,bwalker@harmonyps.org,Jarod Hatcher
ATOKA,03-C022,LANE,Lane,601 W. Mcgee Creek Rd.,OK,74555.0,(580) 889-2743,(580) 889-9157,http://lanepublicschool.com/,Roland Smiht,rolandsmith@lane.k12.ok.us,Rebecca Sandmann
