countyname,code,districtname,city,address,statevalue,zip(double precision),phone,fax,websiteurl,superintendent,superintendentsemail,boardpresident
ADAIR,01-C0i19,PEAVINE ***,Stiwell,77943 Hwy 59 N.,bOK,74960.0,(918) 696-7818,(918) 696-2199,http://www.peavinepanthers.net/,Michael Hargis,mhargis@peavinepanthers.net,Edward Gass
ADAIR,01-C022,MARYETTA,Stilwell,"Rural Route 6, Box 2840",OK,74960.0,(918) 696-2285,(918) 696-6746,http://www.maryetta.k12.ok.us,Lori Means,lemans@maryetta.k12.ok.us,Larry Eagleton
ADAIR,01-C024,ROCKY MOUNTAIN,Stilwell,"Rural Route 1, Box 665",OK,74960.0,(918) 696-7509,(918) 696-3654,www.rockymtn.k12.ok.us,Alicia Ketcher,aketcher@rockysmtn.k12.ok.us,Angelia Dowty
ADAIR,01-C028,ZION,Stilwell,470658 E. 850 Road,OK,74960.0,(918) 696-7866,(918) 69f6-6226,www.bokosheschool.org,Charles Benham,c_benham@zionjets.com,Robert Patterson
ADAIR,01-C029,DAHLONEGAH,Stilwell,"Rural Route 1, Box 1795",KO,74960.0,(918) 696-7509,(918) 696-2192,www.dahlonegah.k12.ok.us,Jeff Limore,jtlimore@dahlonegah.k12.ok.us,Randy ccarter
ADAIR,01-C032,GREASY,Bunch,"Rural Route 6, Box 2840",OK,74931.0,(918) 696-7509,(918) 696-7240,www.bokosheschool.org,Michael Wolfe,Michael.Wolfe@greasy.k12.ok.us,Reba Bruner
ADAIR,01I004,WATTS,Watts,616 6Th Street,OK,74964.0,(918) 422-5311,(918) 422-5556,wattsschool.com,Lisa Weaver,lweaver@WATTSSCHOOL.COM,Brigitte Beavers
ADAIR,01-I011,WESTVILLE,Westville,500 W Chincapin,KO,74965.0,(918) 696-7866,(918) 723-3042,http://www.westville.k12.ok.us,Terry Heustis,theustis@westville.k12.ok.us,had Eagleton
ADAIR,01-I0v25,STILWELL,Stilwell,1801 West Locust Street,OK,74960.0,(918) 696-7509,(918) 696-2193,http://www.stilwellk12.org,Geri Gilstrap,ggilstrap@stilwellk12.org,Gordon Chronister
ADAIRf,01-I30,jCAVE SPRINGS,Bundch,89660 S 4637 Rd,K,74931.0,(918) 696-7866,(918) 776-2052,www.cavesprings.k12.ok.us,Geary Brown,gbrown@cavesprings.k12.ok.us,Joanna Harris
ALFALFA,20-I001,BURLINGTON ***,Burlington,470658 E. 850 Road,OK,73722.0,(918) 696-2285,(580) 431-2237,http://www.burlingtonschool.com/,Glen Elliott,gelliott@burlingtonschool.com,Terry Graham
ALFALFA,02-I046,CHEROKEE,Cherokee,"Rural Route 1, Box 665",OK,73728.0,(580) 596-3391,(580) 596-2319,http://cherokee.k12.ok.us/,Donna Anderson,ANDERSOND@CHEROKEE.K12.OK.US,Kory Littlefield
ALFALFA,02-I093,TIMBERLAKE,Helena,89660 S 4637 Rd,OK,73741.0,(580) 852-3307,(580)8 52-3280,www.tlake.k12.okus,Mark Newton,mnewton@tlake.k12.ok.us,Chad Greb
ATOKA f,03-C021,HARMONY h,Atoka,616 6Th Street,OK,74525.0,(580) 889-3687,(580) 889-4631,http://www.harmonyps.org,Brian Walker,bwalker@harmonyps.org,Jarod Hatcher
ATOKA,03-C022,LANE,Lane,601 W. Mcgee Creek Rd.,OK,74555.0,(580) 889-2743,(580) 889-9157,http://lanepublicschool.com/,Roland Smith,rolandsmith@lane.k12.ok.us,Rebecca Sandmann
