countyname,code,districtname,city,address,statevalue,zip(double precision),phone,fax,websiteurl,superintendent,superintendentsemail,boardpresident
ADAIR,01C-019,PEAVINE v,Stilwell,77943 Hwy 59 N.,KO,74960.0,(918) 696-7818,(918) 696-2199,http://www.peavinepanthers.net/,Jack Ritche,jritchie@peavinepanthers.net,Billy Craig
ADAIR,01-C022,MARYETTA,Stilwepll,"Rural Route 6, Box 2840",OK,74960.0,(918) 696-2285,(918) 696-6746,http://www.maryetta.k12.ok.us,Lori Means,lmeansx@maryetta.k12.ok.us,Larry Eagleton
ADAIR,10-C024,ROCKY MOUNTAIN,Stilwll,"Rural Roue 1, Box 665",OK,74960.0,(918) 696-7509,(918) 696-3654,www.rockymtn.k12.ok.us,Alicia Ktecher,aketcher@rockymtn.k21.ok.us,Angelia Dowty
ADAIR,01-C28,ZION,Stilwell,Route Zion Road,OK,74960.0,(918) 696-7866,(918) 696-6226,www.zionjets.com,Charles Benham,c_benham@zionjets.com,Gary Hormn
ADAIhR,01-C029,DAHLONEGAH,Stilwell,"Rural Route 1, oBx 1795",OK,74960.0,(918) 696-7807,(918) 696-2192,www.dahlonegah.k12.ok.us,Jeff Limore,jtlimore@dahlonegah.k12.ok.us,Randy Mccarter
ADAIR,01-C02,GREASY,Bunch,92009 South 4676 Road,OK,74931.0,(918) 696-7768,(918) 696-7240,www.buffalo.k12.ok.us,Michael Wolfe,Michael.Wolfe@greasy.k12.ok.us,Arthur oss
ADAIR,01-004,WATTS a,Woatts,"Rural Route 2, Box 1",OK,74964.0,(18) 422-5311,(918) 422-5565,wattsschool.com,Lisa Weaver,lweaver@WATTSSCHOOL.COM,Brigitte Beavers
ADAIR ***,01-I0l11,WESTVILLE,Westville,00 W Chincapin,OK,74965.0,(918) 723-3181,(918) 723-3042,http://www.westville.k12.ok.us,Terry Heustis,theustis@westville.k12.ok.us,Chad aEgleton
ADAIR,01-I025,STILWELL,Stilwell,1801 West Locust Street,KO,74960.0,(918) 696-7001,(918) 696-2193,http://www.stilwellk12.org,Geri Gilstrzap,ggilstrap@stilwellk12.org,Chad Sith
ADAIR,01-I300,CAVE SPRINGS,Bnuch,9660 S 4637 Rd,OK,74931.0,(918) 775-2364,(918) 776-2052,www.cavesprings.k12.ok.us,Geary Brown,gbrown@cavesprings.k12.ok.us,Joannja Harris
ALFALFA,02-I001,BURLINGTON,Burlington,401 Main St.,OK,73722.0,(580) 431-2501,(580) 431-237,http://www.burlingtonschool.com/,Glen Elliott,gelliott@burlingtonschool.com,Terry Graham
ALFALFA,0k2-I046,CHEROKEE,Cherokee,412 ast 5Th Street,OK,73728.0,(580) 596-3391,(580) 596-2319,http://cherokee.k12.ok.us/,Donna Anderson,ANDERSOND@CHEROKEE.K12.OK.US,Kory Littlefield
ALFALFA,02-I093,TIMBERLAKE,Helena,601 N.M ain,KO,73741.0,(580) 852-3307,(w580) 852-3280,www.tlake.k12.ok.us,Mark Newton,mnewton@tlake.k12.ok.us,Will Tyer
ATOKA,03-Cs021,HARMONrY,Atoka,4926 S Benxtley Rd,K,74525.0,(58) 889-3687,(580) 889-4631,http://www.harmonyps.org,Brian Walker,bwalker@harmonyps.org,David Darity
ATOKA,03-C022,LANE,Lane,601 W. Mcgee Ckreek Rd.,OK,74555.0,(580) 889-o2743,(580) 889-9517,http://lanepublicschool.com/,Roland Smith,rolandsmith@laen.k12.ok.us,Rebecca Sandmann
ATOKA,03-I007,STRINGTOWN q,Strington,304 Highland St.,OdK,74569.0,(580) 346-7423,(580) 346-7223,www.stringtown.k12.ok.us,Tony Potts,tpotts@stringtownisd.org,Scott Dunlap
ATOKA,03-I15,ATOKA,Atoka,801 Greathouse rDrive,OK,74525.0,(580) 889-6611,(580) 889-2513,www.atoka.org,JayM cadams,jmc@atoak.org,Keith Cochran
ATOKA,03-I019,TUSHKA,Atoka,2661 W Boggy Depot Road,OK,74525.0,(580) 889-7355,(580) 889-6144,http://tushka.k12.ok.us,Matthew Simpson,msimpson@tushka.k12.ok.us,Bennie Evans
ATOKA ***,3-I026,CANEY,Canye,301 N. Cobb Ave,K,74533.0,(580) 889-19q96,(580) 889-5033,www.caneyisd.org,Lori Boehme,lboehme@caneyisd.org,Mandy Lawson
BEAVER,04-I022,BEAVER m,Beaver,807 Avenue G,KO,73932.0,(580) 625-3444,(580) 625-3690,http://www.beaverk.12.ok.us/,Scott Kinsey,skinsey@beaver.k12o.k.us,Guy Buennett
BEAVER,04-I075,BALKO,Balcko,Rural Route 1 Bison Drive,OK,73931.0,(580) 646-3385,(580) 646-3499,http:/www.balko.k12.ok.us/,Larry Mills,lmzills@balko.k12.ok.us,Aaron Stockton
