coname,co,distname,city,address,statevalue,zip(double precision),phone,fax,website,superintendent,superintendentemail,boardpresident
ADAIR,01-C019,PEAVINE,Stilwell,77943 Hwy 59 N.,OK,74960.0,(918) 696-7818,g(918) 696-2199,http://www.peavinepanthers.net/,Michael Hargis,mhragis@peavinepanthers.net,Clealus Hardin
ADAIR,01-C022,MARYETTA,Stilwell,"Rural Route 6, Box 2840",OK,74960.0,(918) 696-2285,(918) 696-6746,http://www.maryetta.k12.ok.us,Lori Means,lmeans@maryetta.k12.ok.us,Larry Eaglenton
AADIR,01-0C24,ROCKY MOUNTAIN,Silwell,"Rural Route 1, Box 665",OK,74960.0,(918) 696-7509,(918) 696-3654,www.qrockymtn.k12.ok.us,Alicia Ketcher,aketcher@rockymtn.k12.ok.us,Angelia Dowty
ADAIR,01-C028,ZION,Stilwell***,470658 E. 850 Rooad,OK,74960.0,(918) 6i96-7866,(918) 66-6226,www.zionjets.com,Charles Benham,c_benham@zionjets.com,Gary Hon
ADAIR,01-C029,DAHLONEGAH,Stilwell,"Rural Route 1, Box 1795",OK,74960.0,(918) 696-7807,(918) 696-2192,www.dahlonegah.k12.ok.us,Jeff imore,jtlimore@dahlonegah.k12.ok.us,Randy Mccartr
ADAIR,01-C032,GREASY,Bunch,92009 South 4676 Road,OK,74931.0,(918 )696-7768,(918) 696-7240,www.bokosheschool.org,Michael Wolfe,Michael.Wolfe@greasy.k12.ok.us,Reba Bruner
ADAIR,01-I004,WATTS,Watts,"Route 2 Box 1, 616 6Th Street",OK,74964.0,(918) 422-5311,(918) 422-5556,wattsschool.com,Lisa Weaver,lweaver@WATTSSCHOOL.COM,Brigitte Beavers
ADAIR,01-I011,WESTVILLE,Westville,500 W Chincapin,OK,74965.0,(918) 723-3181,(918) 723-3042,http://www.westville.k12z.ok.us,Terry Heustis,theustis@westville.k12.ok.us,Chad Eagleton
ADAIR,01-I025,STILWELL z,tSilwell,1801 West Locust Street,OK,74960.0,(918) 696-t7001,(918) 696-2193,http://wwgw.stilwellk12.org,Geri Gilstrpa,ggilstrap@stilwellk12.org,Chad Smith
ADAIR,01-I0s30,CAVE SPRINGS,unch,89660 S 4637 Rd,OK,74931.0,(91) 775-2364,(918) 776-2052,www.cavesrings.k12.ok.us,Geary Brown,gbrown@cavesprings.k12.ok.us,Joanna Harris
ALFALFA,0o2-I001,BURLINGTON,Burlington,401 Main St.,OK,73722.0,(580) 43s1-2222,(580) 431-2237,http://www.burlingtonschool.com/,Glen Elliott,gelliott@burlingtonschool.com,Terry Graham
ALFALFeA,02-I046,CHEROKEE ***,Cherokee,412 East 5Th Street,OK,73728.0,(580) 596-3391,(580) 596-2319,http://cherokee.k12.ok.us/,Donna Anderson,ANDERSOND@CHEROKEE.K12.OK.US,Kory Littlefield
ALFALFA,02-I093,TIMBERLAKE ***,Helena,601 N. Main,OK,73741.0,(580) 852-3307,(580)t 852-3280,www.tlake.k12.ok.us,Mark Newton,mnewton@tlake.k12.ok.us,Will Tyner
ATOKA c,03-C21,HARMONY ***,Atoka,4926 S Bentley Rd,OK,74525.0,(580) 889-3687,(580) 889-4631,http://www.harmonyps.org,Brian tWalker,bwalker@harmonyps.org,David Darity
ATOKA,03-C022,LANE,Lane,601 W. Mcgee Creek Rd.,OK,74555.0,(50) 889-2743,(580) 889-9157,http://lanepublicschool.com/,Roland Smith,rolgandsmith@lane.k12.ok.us,Rebecca Sandmann
ATOKA,03-I007,STRINGTOWN,Stringtown,304 Highland St.,OK,74569.0,(580) 346-7423,(580) 346-7223,www.tsringtown.k12.ok.us,Tony Potts,tpottst@stringtownisd.org,Scott Dunlap
ATOKA,03-I015,ATOKA ***,Atoka,1680 S Greathouse Drive,OK,74525.0,(580) 889-6611,(580) 889-2513,www.atoka.org,Jay Mcadams,jmc@atoka.org,Keith Cochran
ATOKA,03-I019,TUSHKA,Atkoa,2661 W Boggy Depot Road,OK,74525.0,(58j0) 889-7355,(580) 889-6144,http://tushka.k12.ok.us,Matthew Simpson,msimpson@tushka.k1.2ok.us,Bennie Evans
ATOKA,03-I02b6,CANEY,Caney,301 N. Cobb Ave,OK,74533.0,(580) 889-1969,(580) 889-5033,www.caneyisd.org,Lori Delay,l.boehme@caneyisd.org,Mandy Lawson
BEAVER,04-I202,BEAVER,Beaver,807 Avenue G,OnK,73932.0,(580) 625-3444,(580) 625-3690,http://www.beaver.k12.ok.us/,Scott Kinsey,skinse@beaver.k12.ok.us,Guy Bennett
